Series Name,GDP growth (annual %),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (national estimate)",Exports of goods and services (% of GDP),Lending interest rate (%),"Official exchange rate (LCU per US$, period average)"
2019 [YR2019],5.950500754,2.899234164,5.15,18.40999232,4.35,6.90838501
2020 [YR2020],2.238638356,2.419421895,5.61,18.5861392,4.35,6.900767269
2021 [YR2021],8.448469417,0.981015136,5.11,19.94397383,4.35,6.44897518
2022 [YR2022],2.989084086,1.973575557,5.13,20.79148225,4.35,6.737158112
2023 [YR2023],5.2,0.234836829,5.13,19.74307349,4.35,7.083998423
,,,,,,
,,,,,,
VN,,,,,,
2019 [YR2019],7.359262701,2.795823675,1.681,85.1575871,7.7075,23050.24167
2020 [YR2020],2.865413209,3.220934367,2.103,84.38159802,7.6475,23208.36833
2021 [YR2021],2.553728526,1.834715548,2.385,93.85020712,7.811,23159.78259
2022 [YR2022],8.123514468,3.1565075,1.523,93.81163846,8.013333333,23271.2125
2023 [YR2023],5.046430736,3.252892827,1.645,90.3,9.323,23787.31917
,,,,,,
US,,,,,,
2019 [YR2019],2.467037563,1.812210075,3.669,11.79500678,5.2825,
2020 [YR2020],-2.213469333,1.233584396,8.055,10.08355786,3.544166667,
2021 [YR2021],5.800206128,4.697858864,5.349,10.80797936,3.25,
2022 [YR2022],1.935495895,8.002799821,3.65,11.63390862,3.25,
2023 [YR2023],2.542700299,4.116338384,3.638,11.633909,3.25,
,,,,,,
UK,,,,,,
2019 [YR2019],1.641610996,1.738104601,3.657,31.63478028,..,
2020 [YR2020],-10.35990082,0.989486704,4.518,29.69199083,..,
2021 [YR2021],8.674904114,2.518371096,4.865,29.59731253,..,
2022 [YR2022],4.345228834,7.922048831,3.768,33.43046097,..,
2023 [YR2023],0.104017849,6.793967068,4.025,32.17265199,..,
