Series Name,GDP growth (annual %),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (national estimate)",Exports of goods and services (% of GDP),Lending interest rate (%)
1974 [YR1974],-0.540550187,11.0548048,5.6,8.196121904,10.79833333
1975 [YR1975],-0.205619193,9.143146865,8.5,8.232279109,7.8625
1976 [YR1976],5.388033896,5.744812635,7.7,7.980892617,6.84
1977 [YR1977],4.624186517,6.501683995,7.1,7.654290032,6.824166667
1978 [YR1978],5.535206478,7.630963839,6.1,7.947060702,9.056666667
1979 [YR1979],3.165988229,11.25447113,5.8,8.759034352,12.66583333
1980 [YR1980],-0.256775732,13.54920197,7.1,9.82645547,15.26583333
1981 [YR1981],2.537701267,10.33471534,7.6,9.517776667,18.87
1982 [YR1982],-1.803013788,6.131427,9.7,8.469732989,14.86083333
1983 [YR1983],4.583790986,3.212435233,9.6,7.622264819,10.79416667
1984 [YR1984],7.236453159,4.300535475,7.5,7.489078324,12.0425
1985 [YR1985],4.169575347,3.545644152,7.2,6.98807254,9.933333333
1986 [YR1986],3.462655053,1.898047722,7,7.009254676,8.3325
1987 [YR1987],3.454629665,3.664563218,6.2,7.495919336,8.203333333
1988 [YR1988],4.176982398,4.077741107,5.5,8.49052352,9.315
1989 [YR1989],3.672237836,4.82700303,5.3,8.938790197,10.87333333
1990 [YR1990],1.885965585,5.39795644,5.6,9.254732068,10.00916667
1991 [YR1991],-0.108312889,4.234963965,6.8,9.660905122,8.463333333
1992 [YR1992],3.522497184,3.028819678,7.5,9.708914906,6.251666667
1993 [YR1993],2.751795862,2.951656966,6.9,9.547180392,6
1994 [YR1994],4.029022729,2.607441592,6.119,9.893147416,7.138333333
1995 [YR1995],2.684430735,2.805419689,5.65,10.63922388,8.829166667
1996 [YR1996],3.772772686,2.9312042,5.451,10.74663556,8.270833333
1997 [YR1997],4.447127942,2.337689937,5,11.11975771,8.441666667
1998 [YR1998],4.483133346,1.552279099,4.511,10.51526253,8.354166667
1999 [YR1999],4.788425053,2.188027197,4.219,10.30933722,7.994166667
2000 [YR2000],4.077585758,3.376857271,3.992,10.69277273,9.233333333
2001 [YR2001],0.955538346,2.826171119,4.731,9.703448209,6.921666667
2002 [YR2002],1.700447324,1.586031627,5.783,9.131385654,4.675
2003 [YR2003],2.795605966,2.270094973,5.989,9.035652405,4.1225
2004 [YR2004],3.847771692,2.677236693,5.529,9.628747873,4.34
2005 [YR2005],3.483549938,3.392746845,5.084,9.98205641,6.189166667
2006 [YR2006],2.784539639,3.225944101,4.623,10.64138951,7.9575
2007 [YR2007],2.003858298,2.852672482,4.622,11.4637893,8.05
2008 [YR2008],0.113587248,3.839100297,5.784,12.42584392,5.0875
2009 [YR2009],-2.576500234,-0.355546266,9.254,10.93221906,3.25
2010 [YR2010],2.695192584,1.640043442,9.633,12.34135543,3.25
2011 [YR2011],1.564406854,3.156841569,8.949,13.56346378,3.25
2012 [YR2012],2.289113388,2.069337265,8.069,13.64405127,3.25
2013 [YR2013],2.117830099,1.464832656,7.375,13.55349188,3.25
2014 [YR2014],2.523819814,1.622222977,6.168,13.50821421,3.25
2015 [YR2015],2.945550455,0.118627136,5.28,12.41114863,3.26
2016 [YR2016],1.819451475,1.261583206,4.869,11.88815923,3.511666667
2017 [YR2017],2.457622304,2.130110004,4.355,12.17748103,4.096666667
2018 [YR2018],2.966505071,2.442583297,3.896,12.28711076,4.904166667
2019 [YR2019],2.467037563,1.812210075,3.669,11.79500678,5.2825
2020 [YR2020],-2.213469333,1.233584396,8.055,10.08355786,3.544166667
2021 [YR2021],5.800206128,4.697858864,5.349,10.80797936,3.25
2022 [YR2022],1.935495895,8.002799821,3.65,11.63390862,..
2023 [YR2023],2.542700299,4.116338384,3.638,..,..
