Series Name,GDP growth (annual %),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (national estimate)",Exports of goods and services (% of GDP),Lending interest rate (%),"Official exchange rate (LCU per US$, period average)"
1985 [YR1985],3.805855668,..,..,..,..,..
1986 [YR1986],2.789291575,..,..,6.622539299,..,22.93672826
1987 [YR1987],3.583469631,..,..,6.001428373,..,78.95331572
1988 [YR1988],5.135011672,..,..,3.945298226,..,611.646087
1989 [YR1989],7.364512894,..,..,23.84935779,..,4501.686529
1990 [YR1990],5.100918139,..,..,36.03861364,..,6537.604686
1991 [YR1991],5.960843932,..,..,30.91503934,..,10121.89323
1992 [YR1992],8.646047459,..,..,34.74559582,..,11202.19167
1993 [YR1993],8.072730657,..,..,28.72278267,32.1825,10640.95833
1994 [YR1994],8.838980952,..,..,34.01312864,..,10965.66667
1995 [YR1995],9.540480175,..,..,32.81285533,..,11038.25
1996 [YR1996],9.340017499,5.675,1.93,40.86848742,20.1,11032.58333
1997 [YR1997],8.152084143,3.209526063,2.87,43.10270675,14.41666667,11683.33333
1998 [YR1998],5.764455458,7.266198044,2.29,44.84830338,14.4,13268
1999 [YR1999],4.773586883,4.117102358,2.33,49.96624597,12.7,13943.16667
2000 [YR2000],6.787316405,-1.710337279,2.26,53.92149701,10.55,14167.75
2001 [YR2001],6.192893312,-0.431544512,2.76,55.06193328,9.42,14725.16667
2002 [YR2002],6.320820992,3.830828382,2.12,54.73913369,9.061666667,15279.5
2003 [YR2003],6.899063491,3.234648173,2.25,56.67325791,9.48,15509.58333
2004 [YR2004],7.536410609,7.754947487,2.14,59.73104141,9.7225,15746
2005 [YR2005],7.547247729,8.284572431,..,63.69949267,11.025,15858.91667
2006 [YR2006],6.977954811,7.418017151,..,67.71681433,11.17625,15994.25
2007 [YR2007],7.129504486,8.344448898,2.026,70.5178746,11.18,16105.125
2008 [YR2008],5.661771209,23.11544835,..,70.33669194,15.78357143,16302.25
2009 [YR2009],5.39789754,6.7169827,1.737,62.60888407,10.069,17065.08333
2010 [YR2010],6.423244822,9.207466488,1.114,54.1758454,13.13525,18612.91667
2011 [YR2011],6.413168897,18.67773228,0.999,61.18015578,16.95383333,20509.75
2012 [YR2012],5.504544704,9.094703396,1.027,63.47392449,13.47166667,20828
2013 [YR2013],5.55351081,6.592674759,1.316,66.80044615,10.37416667,20933.41667
2014 [YR2014],6.422243121,4.084554466,1.256,69.59857507,8.665,21148
2015 [YR2015],6.987154306,0.631200905,1.849,72.92285161,7.1175,21697.5675
2016 [YR2016],6.690008927,2.66824817,1.848,74.10728551,6.96,21935.00083
2017 [YR2017],6.940190374,3.520256888,1.874,81.76252212,7.0675,22370.08667
2018 [YR2018],7.465006856,3.539628059,1.161,84.42345602,7.371875,22602.05
