Date,GDP growth (annual %),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (national estimate)",Exports of goods and services (% of GDP),Lending interest rate (%)
1974-01-01,-2.484403897,16.04401119,2.6,27.09211639,9.0
1975-01-01,-1.473649486,24.20728767,4.0,25.65880996,10.46769167
1976-01-01,2.910266106,16.55952256,5.5,28.29536423,11.10095
1977-01-01,2.457750517,15.84026675,5.8,29.97134588,8.911866667
1978-01-01,4.204260533,8.263141039,5.7,28.29676302,9.09315
1979-01-01,3.749016594,13.42127998,5.3,27.65681813,13.69480833
1980-01-01,-2.03136782,17.96592427,6.8,26.88680239,16.31268333
1981-01-01,-0.787743889,11.87662651,10.4,26.24442054,13.255
1982-01-01,1.994891334,8.598863833,10.9,25.89367025,11.93096667
1983-01-01,4.221856313,4.609303273,11.088,26.02439064,9.825266667
1984-01-01,2.269105172,4.960710978,10.901,27.82086117,9.6801
1985-01-01,4.14741495,6.07139434,11.48,28.17700885,12.25298333
1986-01-01,3.15034063,3.427609404,11.508,25.09605836,10.90135833
1987-01-01,5.392738267,4.148922321,11.017,24.60977224,9.7355
1988-01-01,5.732413602,4.155351716,9.004,22.16280579,10.09570833
1989-01-01,2.577602821,5.760249092,7.405,22.63317529,13.84180833
1990-01-01,0.733755496,8.063460909,6.969,23.32156486,14.76811667
1991-01-01,-1.103121658,7.461782957,8.55,22.58773686,11.69498333
1992-01-01,0.40108203,4.591549296,9.772,22.9155971,9.563483333
1993-01-01,2.48983102,2.558577969,10.346,24.82334083,6.013633333
1994-01-01,3.846009161,2.219012605,9.648,26.06885155,5.462783333
1995-01-01,2.531670045,2.697495183,8.694,25.78062911,6.693675
1996-01-01,2.582022529,2.851782364,8.189,26.36119179,5.958533333
1997-01-01,4.924928652,2.201143135,7.072,25.76900688,6.5634
1998-01-01,3.414269874,1.820561637,6.198,24.42962,7.23205
1999-01-01,3.066176125,1.752950801,6.042,24.30534255,5.344408333
2000-01-01,4.318727058,1.182956242,5.558,25.65982165,5.963891667
2001-01-01,2.578741046,1.532349603,4.696,25.54716504,5.122375
2002-01-01,1.791985616,1.520402459,5.037,24.510361,4.0
2003-01-01,3.146572528,1.376500385,4.807,24.05649057,3.695791667
2004-01-01,2.426496549,1.390397567,4.594,24.07228892,4.379816667
2005-01-01,2.738842404,2.08913649,4.884,25.27151047,4.648675
2006-01-01,2.386275368,2.455661664,5.473,27.51212944,4.638258333
2007-01-01,2.620331222,2.386561508,5.399,25.51156032,5.508708333
2008-01-01,-0.225726975,3.521408563,5.748,27.50596135,4.675308333
2009-01-01,-4.614957402,1.961731736,7.683,26.88155103,0.644866667
2010-01-01,2.238688634,2.492654725,7.973,28.85674267,0.5
2011-01-01,1.145101541,3.856112447,8.195,31.38759406,0.5
2012-01-01,1.512936749,2.573234797,8.279,30.61856843,0.5
2013-01-01,1.792322216,2.291666667,7.752,30.28942477,0.5
2014-01-01,3.195782466,1.451120163,6.398,28.57621473,0.5
2015-01-01,2.220258322,0.368046842,5.552,27.84595067,0.5
2016-01-01,1.921063414,1.008417368,4.909,28.90233952,0.5
2017-01-01,2.655069668,2.557755776,4.501,30.89035103,0.5
2018-01-01,1.403792086,2.292839903,4.145,31.58011136,0.5
