Date,GDP growth (annual %),"Inflation, consumer prices (annual %)","Unemployment, total (% of total labor force) (national estimate)",Exports of goods and services (% of GDP),Lending interest rate (%),"Official exchange rate (LCU per US$, period average)"
1985-01-01,3.805855668,5.675,1.93,6.622539299,32.1825,22.93672826
1986-01-01,2.789291575,5.675,1.93,6.622539299,32.1825,22.93672826
1987-01-01,3.583469631,5.675,1.93,6.001428373,32.1825,78.95331572
1988-01-01,5.135011672,5.675,1.93,3.945298226,32.1825,611.646087
1989-01-01,7.364512894,5.675,1.93,23.84935779,32.1825,4501.686529
1990-01-01,5.100918139,5.675,1.93,36.03861364,32.1825,6537.604686
1991-01-01,5.960843932,5.675,1.93,30.91503934,32.1825,10121.89323
1992-01-01,8.646047459,5.675,1.93,34.74559582,32.1825,11202.19167
1993-01-01,8.072730657,5.675,1.93,28.72278267,32.1825,10640.95833
1994-01-01,8.838980952,5.675,1.93,34.01312864,28.154999999999998,10965.66667
1995-01-01,9.540480175,5.675,1.93,32.81285533,24.127499999999998,11038.25
1996-01-01,9.340017499,5.675,1.93,40.86848742,20.1,11032.58333
1997-01-01,8.152084143,3.209526063,2.87,43.10270675,14.41666667,11683.33333
1998-01-01,5.764455458,7.266198044,2.29,44.84830338,14.4,13268.0
1999-01-01,4.773586883,4.117102358,2.33,49.96624597,12.7,13943.16667
2000-01-01,6.787316405,-1.710337279,2.26,53.92149701,10.55,14167.75
2001-01-01,6.192893312,-0.431544512,2.76,55.06193328,9.42,14725.16667
2002-01-01,6.320820992,3.830828382,2.12,54.73913369,9.061666667,15279.5
2003-01-01,6.899063491,3.234648173,2.25,56.67325791,9.48,15509.58333
2004-01-01,7.536410609,7.754947487,2.14,59.73104141,9.7225,15746.0
2005-01-01,7.547247729,8.284572431,2.102,63.69949267,11.025,15858.91667
2006-01-01,6.977954811,7.418017151,2.064,67.71681433,11.17625,15994.25
2007-01-01,7.129504486,8.344448898,2.026,70.5178746,11.18,16105.125
2008-01-01,5.661771209,23.11544835,1.8815,70.33669194,15.78357143,16302.25
2009-01-01,5.39789754,6.7169827,1.737,62.60888407,10.069,17065.08333
2010-01-01,6.423244822,9.207466488,1.114,54.1758454,13.13525,18612.91667
2011-01-01,6.413168897,18.67773228,0.999,61.18015578,16.95383333,20509.75
2012-01-01,5.504544704,9.094703396,1.027,63.47392449,13.47166667,20828.0
2013-01-01,5.55351081,6.592674759,1.316,66.80044615,10.37416667,20933.41667
2014-01-01,6.422243121,4.084554466,1.256,69.59857507,8.665,21148.0
2015-01-01,6.987154306,0.631200905,1.849,72.92285161,7.1175,21697.5675
2016-01-01,6.690008927,2.66824817,1.848,74.10728551,6.96,21935.00083
2017-01-01,6.940190374,3.520256888,1.874,81.76252212,7.0675,22370.08667
2018-01-01,7.465006856,3.539628059,1.161,84.42345602,7.371875,22602.05
